id,area,unit,site_lat,site_lon,nominal_age_ma,high_age_ma,low_age_ma,n_sites,dec_deg,inc_deg,alpha95_deg,k,pole_lat,pole_lon_0_360,a95_deg,reference,comment,pole_lon_minus180_180,age_span_ma,is_cretaceous_scope,scope_label,subperiod,page_slug
EGY-CRET-001,Quseir,Trachytes,26.0,34.0,77.5,92.0,63.0,16.0,343.6,7.9,3.1,134.2,63.5,252.3,2.2,Ressetar et al. (1981),,-107.69999999999999,29.0,True,Cretaceous scope (145–66 Ma),Late Cretaceous,001_quseir-trachytes-77-5ma.html
EGY-CRET-002,Natash,Trachyte/Phonolite Ring Dikes,24.366667,34.25,82.0,86.0,78.0,10.0,354.3,3.5,6.3,60.0,66.5,229.0,5.0,Lotfy (2011),,-131.0,8.0,True,Cretaceous scope (145–66 Ma),Late Cretaceous,002_natash-trachyte-phonolite-ring-dikes-82ma.html
EGY-CRET-003,Natash,Olivinebasalt,24.433333,34.016667,104.0,111.0,97.0,12.0,340.0,10.0,6.0,54.0,55.0,250.0,5.0,Lotfy (2011),,-110.0,14.0,True,Cretaceous scope (145–66 Ma),Early Cretaceous,003_natash-olivinebasalt-104ma.html
EGY-CRET-004,Natash,Volcanics,24.4,34.25,93.0,100.0,86.0,15.0,345.4,16.7,8.5,21.4,69.3,258.0,5.8,Schult et al. (1981),,-102.0,14.0,True,Cretaceous scope (145–66 Ma),Late Cretaceous,004_natash-volcanics-93ma.html
EGY-CRET-005,Natash,Sandstone and volcanics,24.5,34.17,85.6,89.89999999999999,81.3,,358.35,-3.84,5.62,163.0,63.53,217.9,4.0,El Shazly and Krs (1973),,-142.10000000000002,8.599999999999994,True,Cretaceous scope (145–66 Ma),Late Cretaceous,005_natash-sandstone-and-volcanics-85-6ma.html
EGY-CRET-006,Natash,Minor intrusions,24.5,33.5,82.0,86.0,78.0,5.0,356.5,20.5,18.1,18.1,75.7,227.56,,Ressetar et al. (1981),,-132.44,8.0,True,Cretaceous scope (145–66 Ma),Late Cretaceous,006_natash-minor-intrusions-82ma.html
EGY-CRET-007,Abu Khrug,Nepheline syenite; Essexite gabbro; Trachyte porphyry; Trachyte agglomerate,24.6667,34.2667,89.0,91.0,87.0,6.0,336.1,8.4,12.9,27.8,59.1,266.0,,Ressetar et al. (1981),,-94.0,4.0,True,Cretaceous scope (145–66 Ma),Late Cretaceous,007_abu-khrug-nepheline-syenite-essexite-gabbro-trachyte-porphyry-trachyte.html
EGY-CRET-008,El Kahfa,Alkali syenite; Trachyte; Essexite gabbro,24.1,34.7,86.7,92.0,81.4,4.0,349.1,-5.4,7.5,147.8,61.1,237.6,,Ressetar et al. (1981),,-122.39999999999998,10.599999999999994,True,Cretaceous scope (145–66 Ma),Late Cretaceous,008_el-kahfa-alkali-syenite-trachyte-essexite-gabbro-86-7ma.html
EGY-CRET-009,"Nubia S.S.W.Desert,",Sandstone,24.17,29.25,118.5,124.0,113.0,11.0,347.1,41.6,7.8,,78.0,294.0,,El-Shayeb et al. (2013),,-66.0,11.0,True,Cretaceous scope (145–66 Ma),Early Cretaceous,009_nubia-s-s-w-desert-sandstone-118-5ma.html
EGY-CRET-010,El Nuhod,trachyte,24.564167,34.333333,78.0,78.0,78.0,14.0,324.0,-18.0,10.6,24.0,41.0,264.0,,El- Hemaly et al. (2012),,-96.0,0.0,True,Cretaceous scope (145–66 Ma),Late Cretaceous,010_el-nuhod-trachyte-78ma.html
EGY-CRET-011,"Nubia S.S.W.Desert,",Sandstone,23.25,32.75,101.0,113.0,89.0,9.0,351.2,35.2,6.0,73.9,81.0,279.4,,Mostafa et al. (2016),mean-direction and Plat and Plong calculated here,-80.60000000000002,24.0,True,Cretaceous scope (145–66 Ma),Early Cretaceous,011_nubia-s-s-w-desert-sandstone-101ma.html
EGY-CRET-012,Mishbeh Ring Complex,alkaline syenite / nepheline-bearing syenite / dykes and veins,22.4,34.4,142.0,157.0,127.0,5.0,332.0,22.0,7.1,71.4,58.0,290.0,,Awad et al. (2019),,-70.0,30.0,True,Cretaceous scope (145–66 Ma),Early Cretaceous,012_mishbeh-ring-complex-alkaline-syenite-nepheline-bearing-syenite-dykes-.html
EGY-CRET-013,Nigrub El Fogany ring complex,alkaline syenite / trachyte-rhyolite agglomerates,22.85,34.916667,139.0,154.0,124.0,17.0,323.0,25.0,11.9,17.0,54.0,296.0,,Mostafa et al. (2023),,-64.0,30.0,True,Cretaceous scope (145–66 Ma),Early Cretaceous,013_nigrub-el-fogany-ring-complex-alkaline-syenite-trachyte-rhyolite-agglo.html
EGY-CRET-014,Nigrub El Fogany ring complex,alkaline syenite / trachyte-rhyolite agglomerates,23.016667,35.0,140.0,155.0,125.0,23.0,318.0,25.0,8.8,46.0,49.0,298.0,,Mostafa et al. (2023),,-62.0,30.0,True,Cretaceous scope (145–66 Ma),Early Cretaceous,014_nigrub-el-fogany-ring-complex-alkaline-syenite-trachyte-rhyolite-agglo.html
EGY-CRET-015,Baharya,Baharya basalt / BH mean,28.36,28.88,18.0,21.0,15.0,3.0,196.0,7.0,3.8,75.0,54.0,180.0,3.2,Perrin & Saleh (2018),,-180.0,6.0,False,Outside stated Cretaceous scope; retained from raw upload,Post-Cretaceous / retained raw entry,015_baharya-baharya-basalt-bh-mean-18ma.html
EGY-CRET-016,Abu Had,Abu Had basalt / AH mean,28.03,32.35,45.0,56.0,34.0,3.0,197.0,-27.0,3.9,72.0,69.0,161.0,3.5,Perrin & Saleh (2018),,161.0,22.0,False,Outside stated Cretaceous scope; retained from raw upload,Post-Cretaceous / retained raw entry,016_abu-had-abu-had-basalt-ah-mean-45ma.html
EGY-CRET-017,Shalaten,Shalaten basalt / ST1,23.12,35.46,90.0,110.0,70.0,1.0,334.0,10.0,6.1,83.0,59.0,273.0,4.9,Perrin & Saleh (2018),field relations only; no isotopic age,-87.0,40.0,True,Cretaceous scope (145–66 Ma),Late Cretaceous,017_shalaten-shalaten-basalt-st1-90ma.html
EGY-CRET-018,Shalaten,Shalaten basalt / ST2,23.12,35.46,90.0,110.0,70.0,1.0,352.0,32.0,7.8,61.0,57.0,302.0,7.2,Perrin & Saleh (2018),field relations only; no isotopic age,-58.0,40.0,True,Cretaceous scope (145–66 Ma),Late Cretaceous,018_shalaten-shalaten-basalt-st2-90ma.html
EGY-CRET-019,Toshki,Toshki basalt / TK mean,22.78,31.48,106.0,146.0,66.0,3.0,344.0,5.0,3.1,79.0,64.0,252.0,2.5,Perrin & Saleh (2018),field relations only; no isotopic age,-108.0,80.0,True,Cretaceous scope (145–66 Ma),Early Cretaceous,019_toshki-toshki-basalt-tk-mean-106ma.html
EGY-CRET-020,Abu Simbel,Abu Simbel basalt / AS mean,22.43,31.21,106.0,146.0,66.0,3.0,340.0,4.0,10.2,8.0,62.0,258.0,7.0,Perrin & Saleh (2018),field relations only; no isotopic age,-102.0,80.0,True,Cretaceous scope (145–66 Ma),Early Cretaceous,020_abu-simbel-abu-simbel-basalt-as-mean-106ma.html
EGY-CRET-021,Abu Shihat,Wadi Abu Shihat dykes / SH mean,26.3,33.2,106.0,146.0,66.0,11.0,357.0,45.0,7.5,38.0,87.0,323.0,7.2,Perrin & Saleh (2018),field relations only; no isotopic age,-37.0,80.0,True,Cretaceous scope (145–66 Ma),Early Cretaceous,021_abu-shihat-wadi-abu-shihat-dykes-sh-mean-106ma.html
EGY-CRET-022,Abu Shihat,Wadi Abu Shihat dyke / SH10,26.3,33.2,106.0,146.0,66.0,1.0,316.0,27.0,6.6,105.0,48.0,295.0,4.9,Perrin & Saleh (2018),field relations only; no isotopic age,-65.0,80.0,True,Cretaceous scope (145–66 Ma),Early Cretaceous,022_abu-shihat-wadi-abu-shihat-dyke-sh10-106ma.html
